Date,Revenue
9/15/2016,134.97
10/3/2016,441.98
10/4/2016,8595.89
10/5/2016,6169.77
10/6/2016,5889.96
10/7/2016,6075.35
10/8/2016,7592.89
10/9/2016,2399.7
10/10/2016,3159.57
12/23/2016,10.9
1/5/2017,396.9
1/6/2017,916.38
1/7/2017,1351.9
1/8/2017,449.78
1/9/2017,673.79
1/10/2017,1434.87
1/11/2017,1855.27
1/12/2017,1478.59
1/13/2017,2450.68
1/14/2017,876.89
1/15/2017,2199.57
1/16/2017,3275.02
1/17/2017,3302.53
1/18/2017,3216.49
1/19/2017,3553.95
1/20/2017,4035.83
1/21/2017,2313.71
1/22/2017,3619.27
1/23/2017,6299.22
1/24/2017,5155.3
1/25/2017,7114.95
1/26/2017,12907.97
1/27/2017,11178.95
1/28/2017,5056.01
1/29/2017,5966.76
1/30/2017,10241.15
1/31/2017,10476.63
2/1/2017,7538.77
2/2/2017,8813.65
2/3/2017,9641.82
2/4/2017,13599.27
2/5/2017,8406.89
2/6/2017,9399.76
2/7/2017,13704.69
2/8/2017,11550.69
2/9/2017,8971.6
2/10/2017,13142.34
2/11/2017,4307.56
2/12/2017,14922.35
2/13/2017,10136.15
2/14/2017,10885.41
2/15/2017,6526.87
2/16/2017,5823.14
2/17/2017,6801.26
2/18/2017,7297.33
2/19/2017,3564.83
2/20/2017,7156.41
2/21/2017,8023.17
2/22/2017,5935.72
2/23/2017,6271.34
2/24/2017,6630.12
2/25/2017,3573.69
2/26/2017,5132.49
2/27/2017,5764.32
2/28/2017,10701.76
3/1/2017,12203.41
3/2/2017,11164.5
3/3/2017,12364.44
3/4/2017,8594.74
3/5/2017,6662.93
3/6/2017,8618.04
3/7/2017,11388.62
3/8/2017,13178.97
3/9/2017,10976.84
3/10/2017,11916.08
3/11/2017,10513.41
3/12/2017,6496.17
3/13/2017,16351.46
3/14/2017,13935.57
3/15/2017,14362.04
3/16/2017,14134.44
3/17/2017,11910.5
3/18/2017,16145.92
3/19/2017,6649.34
3/20/2017,16861.09
3/21/2017,11311.15
3/22/2017,14150.98
3/23/2017,16073.78
3/24/2017,10094.57
3/25/2017,9301.89
3/26/2017,6101.05
3/27/2017,16186.17
3/28/2017,11420.22
3/29/2017,8164.14
3/30/2017,9795.61
3/31/2017,12170.78
4/1/2017,17518.47
4/2/2017,8999.89
4/3/2017,8843.07
4/4/2017,12301.65
4/5/2017,18328.24
4/6/2017,19130.49
4/7/2017,12932.49
4/8/2017,8457.09
4/9/2017,7715.85
4/10/2017,11378.51
4/11/2017,6972.61
4/12/2017,7790.21
4/13/2017,9691.43
4/14/2017,6704.19
4/15/2017,8210.19
4/16/2017,5025.96
4/17/2017,7432.09
4/18/2017,21286.72
4/19/2017,11755.68
4/20/2017,12300.64
4/21/2017,8426.27
4/22/2017,12761.18
4/23/2017,9904.05
4/24/2017,13026.85
4/25/2017,13747.46
4/26/2017,15365.59
4/27/2017,9521.93
4/28/2017,15585.79
4/29/2017,11573.73
4/30/2017,7981.36
5/1/2017,11786.89
5/2/2017,17304.91
5/3/2017,10037.06
5/4/2017,13493.56
5/5/2017,13622.07
5/6/2017,14328.28
5/7/2017,16303.38
5/8/2017,15873.06
5/9/2017,20525.66
5/10/2017,20445.83
5/11/2017,18058.66
5/12/2017,11656.75
5/13/2017,8353.97
5/14/2017,14252
5/15/2017,17679.45
5/16/2017,21050.99
5/17/2017,18130.96
5/18/2017,18205.14
5/19/2017,17490.17
5/20/2017,10538.41
5/21/2017,17175.21
5/22/2017,23970.52
5/23/2017,17246.9
5/24/2017,23310.97
5/25/2017,15084.9
5/26/2017,10411.18
5/27/2017,13340.72
5/28/2017,9262.62
5/29/2017,17669.67
5/30/2017,13497.69
5/31/2017,19230.67
6/1/2017,19287.35
6/2/2017,18597.55
6/3/2017,10432.85
6/4/2017,13693.74
6/5/2017,23204.89
6/6/2017,13559.85
6/7/2017,12498.67
6/8/2017,18379.38
6/9/2017,15921.35
6/10/2017,7941.56
6/11/2017,14114.66
6/12/2017,14279.98
6/13/2017,13803.4
6/14/2017,20309.95
6/15/2017,12079.87
6/16/2017,12722.34
6/17/2017,11024.62
6/18/2017,15706.28
6/19/2017,22231.41
6/20/2017,10658.53
6/21/2017,6135.75
6/22/2017,8458.62
6/23/2017,12690.09
6/24/2017,8146.75
6/25/2017,17000.09
6/26/2017,12977.97
6/27/2017,16681.61
6/28/2017,14477.84
6/29/2017,12169.53
6/30/2017,12736.89
7/1/2017,11434.35
7/2/2017,11220.56
7/3/2017,15201.36
7/4/2017,15219.25
7/5/2017,20533.02
7/6/2017,20870.58
7/7/2017,13158.89
7/8/2017,10206.86
7/9/2017,8070.58
7/10/2017,17326.93
7/11/2017,19135.99
7/12/2017,18564.4
7/13/2017,14325.51
7/14/2017,18595.16
7/15/2017,10880.66
7/16/2017,12627.74
7/17/2017,21349.98
7/18/2017,27935.2
7/19/2017,16171.41
7/20/2017,17839.28
7/21/2017,12629.05
7/22/2017,11426.81
7/23/2017,11850.11
7/24/2017,18183.72
7/25/2017,16789.24
7/26/2017,10807.07
7/27/2017,15518.03
7/28/2017,19479.26
7/29/2017,15127.6
7/30/2017,12149.73
7/31/2017,16976.19
8/1/2017,21321.15
8/2/2017,17797.09
8/3/2017,18285.62
8/4/2017,17912.82
8/5/2017,11793.34
8/6/2017,12902.48
8/7/2017,23257.84
8/8/2017,18661.63
8/9/2017,20128.37
8/10/2017,19865.55
8/11/2017,18916.38
8/12/2017,12384.17
8/13/2017,12244.3
8/14/2017,17905.47
8/15/2017,22813.74
8/16/2017,20461.27
8/17/2017,17819.11
8/18/2017,16734.31
8/19/2017,12842.58
8/20/2017,12873.78
8/21/2017,21480.85
8/22/2017,16570.13
8/23/2017,15873.61
8/24/2017,13121.01
8/25/2017,14462.15
8/26/2017,9797.9
8/27/2017,12893.21
8/28/2017,21318.73
8/29/2017,33236.48
8/30/2017,29116.37
8/31/2017,19908.26
9/1/2017,27983.45
9/2/2017,17911.76
9/3/2017,27615.52
9/4/2017,24757.98
9/5/2017,20674.76
9/6/2017,25101.81
9/7/2017,16893.5
9/8/2017,11484.6
9/9/2017,14554.65
9/10/2017,17144.5
9/11/2017,23246.89
9/12/2017,26431.54
9/13/2017,27263.48
9/14/2017,22188.87
9/15/2017,17959.58
9/16/2017,18965.74
9/17/2017,19979.42
9/18/2017,27232.01
9/19/2017,19616.67
9/20/2017,21812.75
9/21/2017,18251.99
9/22/2017,15388.12
9/23/2017,9720.71
9/24/2017,12920.75
9/25/2017,17502.57
9/26/2017,21101.61
9/27/2017,20646.92
9/28/2017,22993.12
9/29/2017,28399.8
9/30/2017,11654.6
10/1/2017,18058.48
10/2/2017,21550.66
10/3/2017,25462.08
10/4/2017,20972.7
10/5/2017,24851.52
10/6/2017,16993.27
10/7/2017,14941.03
10/8/2017,16539.01
10/9/2017,28850.29
10/10/2017,27879.52
10/11/2017,18735.58
10/12/2017,18352.08
10/13/2017,22241.19
10/14/2017,13160.97
10/15/2017,18598.06
10/16/2017,30039.98
10/17/2017,29361.78
10/18/2017,27257.79
10/19/2017,23128.37
10/20/2017,18523.4
10/21/2017,14332.86
10/22/2017,19195.28
10/23/2017,21682.21
10/24/2017,22034.47
10/25/2017,17397.16
10/26/2017,21253.81
10/27/2017,20318.58
10/28/2017,16333.61
10/29/2017,17048.75
10/30/2017,19400.06
10/31/2017,23753.1
11/1/2017,19363.71
11/2/2017,21074.93
11/3/2017,22844.05
11/4/2017,19033.27
11/5/2017,16323.76
11/6/2017,27673.15
11/7/2017,19711.71
11/8/2017,18594.64
11/9/2017,24307.55
11/10/2017,18789.56
11/11/2017,22768.63
11/12/2017,22553.77
11/13/2017,23792.68
11/14/2017,26542.95
11/15/2017,22591.4
11/16/2017,27674.54
11/17/2017,28711.29
11/18/2017,22713.91
11/19/2017,19932.66
11/20/2017,43405.98
11/21/2017,33600.85
11/22/2017,23951.51
11/23/2017,43102.33
11/24/2017,149916.58
11/25/2017,59928.51
11/26/2017,44000.48
11/27/2017,47237.27
11/28/2017,47694.76
11/29/2017,39093.09
11/30/2017,30835.85
12/1/2017,38966.51
12/2/2017,30769.14
12/3/2017,28825.3
12/4/2017,45101.28
12/5/2017,33224.77
12/6/2017,38694.05
12/7/2017,27649.88
12/8/2017,28848.49
12/9/2017,19728.04
12/10/2017,23843.78
12/11/2017,33134.94
12/12/2017,32802.19
12/13/2017,28972.58
12/14/2017,24980.45
12/15/2017,26582.62
12/16/2017,20125.39
12/17/2017,19025.62
12/18/2017,28791.47
12/19/2017,20356.99
12/20/2017,26642.54
12/21/2017,18208.63
12/22/2017,14196.95
12/23/2017,11623.65
12/24/2017,5600.02
12/25/2017,9858.64
12/26/2017,20071.73
12/27/2017,17341.4
12/28/2017,14647.79
12/29/2017,15912.82
12/30/2017,13042.65
12/31/2017,8462.88
1/1/2018,6818.31
1/2/2018,24912.05
1/3/2018,31061.83
1/4/2018,34137.05
1/5/2018,25901.49
1/6/2018,27513.73
1/7/2018,28320.06
1/8/2018,37611.71
1/9/2018,29865.17
1/10/2018,37384.96
1/11/2018,39648.12
1/12/2018,30174.74
1/13/2018,27402.24
1/14/2018,30606.37
1/15/2018,37765.71
1/16/2018,42306.97
1/17/2018,35283.53
1/18/2018,27684.88
1/19/2018,27146.19
1/20/2018,22152.69
1/21/2018,21728.24
1/22/2018,36787.96
1/23/2018,34046.69
1/24/2018,30949
1/25/2018,28822.42
1/26/2018,33598.11
1/27/2018,21544.61
1/28/2018,22614.96
1/29/2018,29987.56
1/30/2018,28640.96
1/31/2018,32226.69
2/1/2018,29865.85
2/2/2018,26885.53
2/3/2018,22822.17
2/4/2018,23507.49
2/5/2018,35467.24
2/6/2018,33539.34
2/7/2018,30891.45
2/8/2018,27074.86
2/9/2018,30571.07
2/10/2018,20579.17
2/11/2018,22014.31
2/12/2018,23255.73
2/13/2018,23059.65
2/14/2018,36580.37
2/15/2018,31290.7
2/16/2018,26668.1
2/17/2018,24662.48
2/18/2018,24141.73
2/19/2018,27551.75
2/20/2018,36289.7
2/21/2018,31508.57
2/22/2018,29828.19
2/23/2018,28327.89
2/24/2018,23995.28
2/25/2018,28397.22
2/26/2018,43372.46
2/27/2018,39901.51
2/28/2018,44387.32
3/1/2018,38918.9
3/2/2018,31378.56
3/3/2018,25925.77
3/4/2018,30922.02
3/5/2018,36822.59
3/6/2018,38217.79
3/7/2018,35398.91
3/8/2018,27521.6
3/9/2018,27192.76
3/10/2018,25262.49
3/11/2018,31078.58
3/12/2018,30082.26
3/13/2018,34400.25
3/14/2018,22466.81
3/15/2018,41686.36
3/16/2018,31928.74
3/17/2018,19725.21
3/18/2018,30582.35
3/19/2018,43419.19
3/20/2018,35076.97
3/21/2018,39133.58
3/22/2018,30400.87
3/23/2018,26706.66
3/24/2018,23584.87
3/25/2018,25336.31
3/26/2018,35008.82
3/27/2018,33609.86
3/28/2018,26972.14
3/29/2018,28336.37
3/30/2018,21871.83
3/31/2018,24386.83
4/1/2018,28553.63
4/2/2018,39041.32
4/3/2018,36107.92
4/4/2018,36706.21
4/5/2018,35763.14
4/6/2018,26528.26
4/7/2018,24874.1
4/8/2018,23212.85
4/9/2018,48922.94
4/10/2018,27416.11
4/11/2018,38318.13
4/12/2018,33952.78
4/13/2018,29605.91
4/14/2018,18776.7
4/15/2018,30171.31
4/16/2018,39973.23
4/17/2018,33777.37
4/18/2018,38231.89
4/19/2018,42749.34
4/20/2018,27176.04
4/21/2018,18839.36
4/22/2018,27171
4/23/2018,37135.47
4/24/2018,42219.08
4/25/2018,40621.4
4/26/2018,31263.86
4/27/2018,39552.35
4/28/2018,22511.91
4/29/2018,19156.84
4/30/2018,35203.64
5/1/2018,32695
5/2/2018,36451.83
5/3/2018,40915.77
5/4/2018,38990.96
5/5/2018,27825.16
5/6/2018,27800.55
5/7/2018,52726.03
5/8/2018,47145.8
5/9/2018,42308.13
5/10/2018,49689.88
5/11/2018,37785.29
5/12/2018,28736.13
5/13/2018,31203.52
5/14/2018,52633.1
5/15/2018,40879.52
5/16/2018,55562.13
5/17/2018,30876.73
5/18/2018,30941.63
5/19/2018,25052.39
5/20/2018,19163.58
5/21/2018,24546.19
5/22/2018,27229.09
5/23/2018,17501.05
5/24/2018,20023.26
5/25/2018,15888.92
5/26/2018,14799.17
5/27/2018,12523.25
5/28/2018,26702.47
5/29/2018,25572.08
5/30/2018,18994.8
5/31/2018,24381.28
6/1/2018,32298.92
6/2/2018,25216.62
6/3/2018,28096.96
6/4/2018,28209.01
6/5/2018,30524.36
6/6/2018,26134.4
6/7/2018,37020.4
6/8/2018,26161.02
6/9/2018,29172.11
6/10/2018,25360.34
6/11/2018,49669.7
6/12/2018,40267.2
6/13/2018,33791.84
6/14/2018,27369.6
6/15/2018,26313.76
6/16/2018,24287.17
6/17/2018,17238.33
6/18/2018,33724.5
6/19/2018,34103.02
6/20/2018,28722.99
6/21/2018,27595.68
6/22/2018,24567.23
6/23/2018,17397.05
6/24/2018,24303.6
6/25/2018,35346.52
6/26/2018,30420.59
6/27/2018,26496.48
6/28/2018,30681
6/29/2018,20277.58
6/30/2018,15309.88
7/1/2018,23885.47
7/2/2018,22872.2
7/3/2018,26102.52
7/4/2018,35149.77
7/5/2018,28490.43
7/6/2018,18739.64
7/7/2018,8816.76
7/8/2018,14064.7
7/9/2018,19360.95
7/10/2018,18127.59
7/11/2018,17719.1
7/12/2018,19551.98
7/13/2018,27644.23
7/14/2018,21542.92
7/15/2018,29518.6
7/16/2018,29990.09
7/17/2018,29532.13
7/18/2018,40860.9
7/19/2018,38426.79
7/20/2018,31898.19
7/21/2018,20845.68
7/22/2018,25903.42
7/23/2018,39296.34
7/24/2018,39903
7/25/2018,40183.26
7/26/2018,34744.03
7/27/2018,28104.86
7/28/2018,24813.32
7/29/2018,29453.61
7/30/2018,37606.96
7/31/2018,44804.02
8/1/2018,40244.22
8/2/2018,37834.35
8/3/2018,41477.14
8/4/2018,34646.27
8/5/2018,34701.48
8/6/2018,53475.41
8/7/2018,46744.2
8/8/2018,42449.38
8/9/2018,39659.48
8/10/2018,32841.77
8/11/2018,25916.03
8/12/2018,29150.53
8/13/2018,38245.22
8/14/2018,43900.96
8/15/2018,45376.15
8/16/2018,35166.77
8/17/2018,31124.03
8/18/2018,24157.5
8/19/2018,25487.39
8/20/2018,33749.5
8/21/2018,26274.06
8/22/2018,20247.24
8/23/2018,17030.87
8/24/2018,9440.71
8/25/2018,10599.41
8/26/2018,8070.71
8/27/2018,5345.91
8/28/2018,3673.91
8/29/2018,1546.04
